Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
0.019624970,0,1,1,0,0,1
0.019625120,0,1,0,0,0,1
0.019625300,0,1,1,0,0,1
0.019625460,0,1,0,0,0,1
0.019625560,0,1,1,0,0,1
0.019625640,0,1,0,0,0,1
0.019625790,0,1,1,0,0,1
0.019625890,0,1,0,0,0,1
0.019625970,0,1,1,0,0,1
0.019626120,0,1,0,0,0,1
0.019626230,0,1,1,0,0,1
0.019626300,0,1,0,0,0,1
0.019626460,0,1,1,0,0,1
0.019626560,0,1,0,0,0,1
0.019626630,0,1,1,0,0,1
0.019626720,0,1,0,0,0,1
0.019626800,0,1,1,0,0,1
0.019626890,0,1,0,0,0,1
0.019626970,0,1,1,0,0,1
0.019627120,0,1,0,0,0,1
0.019627230,0,1,1,0,0,1
0.019627310,0,1,0,0,0,1
0.019627390,0,1,1,0,0,1
0.019627480,0,1,0,0,0,1
0.019627550,0,1,1,0,0,1
0.019627650,0,1,0,0,0,1
0.019627780,0,1,1,0,0,1
0.019627960,0,1,0,0,0,1
0.019628130,0,1,1,0,0,1
0.019628250,0,1,0,0,0,1
0.019628330,0,1,1,0,0,1
0.019628420,0,1,0,0,0,1
0.019628490,0,1,1,0,0,1
0.019628650,0,1,0,0,0,1
0.019628820,0,1,1,0,0,1
0.019628950,0,1,0,0,0,1
0.019629000,0,1,1,0,0,1
0.019629150,0,1,0,0,0,1
0.019629270,0,1,1,0,0,1
0.019629340,0,1,0,0,0,1
0.019629490,0,1,1,0,0,1
0.019629670,0,1,0,0,0,1
0.019629780,0,1,1,0,0,1
0.019629850,0,1,0,0,0,1
0.019629920,0,1,1,0,0,1
0.019630020,0,1,0,0,0,1
0.019630570,0,1,0,1,0,1
0.019640180,0,1,0,1,1,1
0.019641000,0,1,0,1,0,1
0.019641100,0,1,0,1,1,1
0.019641180,0,1,0,1,0,1
0.019641320,0,1,0,1,1,1
0.019641440,0,1,0,1,0,1
0.019641490,0,1,0,1,1,1
0.019641660,0,1,0,1,0,1
0.019641820,0,1,0,1,1,1
0.019641940,0,1,0,1,0,1
0.019642000,0,1,0,1,1,1
0.019642140,0,1,0,1,0,1
0.019642250,0,1,0,1,1,1
0.019642330,0,1,0,1,0,1
0.019642410,0,1,0,1,1,1
0.019642500,0,1,0,1,0,1
0.019642630,0,1,0,1,1,1
0.019642740,0,1,0,1,0,1
0.019642820,0,1,0,1,1,1
0.019642940,0,1,0,1,1,0
0.019642960,0,1,0,1,0,0
0.019643060,0,1,0,1,1,0
0.019643150,0,1,0,1,0,0
0.019643220,0,1,0,1,1,0
0.019643310,0,1,0,1,0,0
0.019643450,0,1,0,1,1,0
0.019643560,0,1,0,1,0,0
0.019643640,0,1,0,1,1,0
0.019643720,0,1,0,1,0,0
0.019643800,0,1,0,1,1,0
0.019643950,0,1,0,1,0,0
0.019644120,0,1,0,1,1,0
0.019644220,0,1,0,1,0,0
0.019644300,0,1,0,1,1,0
0.019644450,0,1,0,1,0,0
0.019644560,0,1,0,1,1,0
0.019644630,0,1,0,1,0,0
0.019644790,0,1,0,1,1,0
0.019644960,0,1,0,1,0,0
0.019645060,0,1,0,1,1,0
0.019645130,0,1,0,1,0,0
0.019645220,0,1,0,1,1,0
0.019645300,0,1,0,1,0,0
0.019645460,0,1,0,1,1,0
0.019645630,0,1,0,1,0,0
0.019645800,0,1,0,1,1,0
0.019645960,0,1,0,1,0,0
0.019646130,0,1,0,1,1,0
0.019646220,0,1,0,1,0,0
0.019646300,0,1,0,1,1,0
0.019646380,0,1,0,1,0,0
0.019646470,0,1,0,1,1,0
0.019646550,0,1,0,1,0,0
0.019646640,0,1,0,1,1,0
0.019646790,0,1,0,1,0,0
0.019646960,0,1,0,1,1,0
0.019647050,0,1,0,1,0,0
0.019647140,0,1,0,1,1,0
0.019647290,0,1,0,1,0,0
0.019647390,0,1,0,1,1,0
0.019647470,0,1,0,1,0,0
0.019647560,0,1,0,1,1,0
0.019647630,0,1,0,1,0,0
0.019647720,0,1,0,1,1,0
0.019647800,0,1,0,1,0,0
0.019647890,0,1,0,1,1,0
0.019647970,0,1,0,1,0,0
0.019648100,0,1,0,1,1,0
0.019648280,0,1,0,1,0,0
0.019648440,0,1,0,1,1,0
0.019648560,0,1,0,1,0,0
0.019648650,0,1,0,1,1,0
0.019648800,0,1,0,1,0,0
0.019648900,0,1,0,1,1,0
0.019648990,0,1,0,1,0,0
0.019649080,0,1,0,1,1,0
0.019649170,0,1,0,1,0,0
0.019649300,0,1,0,1,1,0
0.019649480,0,1,0,1,0,0
0.019649660,0,1,0,1,1,0
0.019649830,0,1,0,1,0,0
0.019649920,0,1,0,1,1,0
0.019650000,0,1,0,1,0,0
0.019650090,0,1,0,1,1,0
0.019650170,0,1,0,1,0,0
0.019650360,0,1,0,1,1,0
0.019650500,0,1,0,1,0,0
0.019650710,0,1,0,1,1,0
0.019650840,0,1,0,1,0,0
0.019650940,0,1,0,1,1,0
0.019651020,0,1,0,1,0,0
0.019651230,0,1,0,1,0,1
0.022099350,0,1,1,1,0,1
0.022100300,0,1,0,1,0,1
0.023453100,1,1,0,1,0,1
0.023454080,0,1,0,1,0,1
0.024754470,0,1,1,1,0,1
0.024755420,0,1,0,1,0,1
0.026386860,0,1,1,1,0,1
0.026387020,0,1,0,1,0,1
0.026387170,0,1,1,1,0,1
0.026387430,0,1,0,1,0,1
0.026387510,0,1,1,1,0,1
0.026387660,0,1,0,1,0,1
0.026387770,0,1,1,1,0,1
0.026387830,0,1,0,1,0,1
0.026387910,0,1,1,1,0,1
0.026388000,0,1,0,1,0,1
0.026388150,0,1,1,1,0,1
0.026388260,0,1,0,1,0,1
0.026388330,0,1,1,1,0,1
0.026388420,0,1,0,1,0,1
0.026388490,0,1,1,1,0,1
0.026388640,0,1,0,1,0,1
0.026388730,0,1,1,1,0,1
0.026388830,0,1,0,1,0,1
0.026388900,0,1,1,1,0,1
0.026388990,0,1,0,1,0,1
0.026389060,0,1,1,1,0,1
0.026389150,0,1,0,1,0,1
0.026389230,0,1,0,0,0,1
0.026389290,0,1,1,0,0,1
0.026389460,0,1,0,0,0,1
0.026389550,0,1,1,0,0,1
0.026389640,0,1,0,0,0,1
0.026389780,0,1,1,0,0,1
0.026389950,0,1,0,0,0,1
0.026390120,0,1,1,0,0,1
0.026390220,0,1,0,0,0,1
0.026390300,0,1,1,0,0,1
0.026390460,0,1,0,0,0,1
0.026390550,0,1,1,0,0,1
0.026390630,0,1,0,0,0,1
0.026390720,0,1,1,0,0,1
0.026390800,0,1,0,0,0,1
0.026390960,0,1,1,0,0,1
0.026391050,0,1,0,0,0,1
0.026391130,0,1,1,0,0,1
0.026391290,0,1,0,0,0,1
0.026391390,0,1,1,0,0,1
0.026391460,0,1,0,0,0,1
0.026391630,0,1,1,0,0,1
0.026391790,0,1,0,0,0,1
0.026391960,0,1,1,0,0,1
0.026392120,0,1,0,0,0,1
0.026392300,0,1,1,0,0,1
0.026392460,0,1,0,0,0,1
0.026392550,0,1,1,0,0,1
0.026392630,0,1,0,0,0,1
0.026392790,0,1,1,0,0,1
0.026392890,0,1,0,0,0,1
0.026392960,0,1,1,0,0,1
0.026393120,0,1,0,0,0,1
0.026393220,0,1,1,0,0,1
0.026393300,0,1,0,0,0,1
0.026393430,0,1,1,0,0,1
0.026393560,0,1,0,0,0,1
0.026393640,0,1,1,0,0,1
0.026393790,0,1,0,0,0,1
0.026393940,0,1,1,0,0,1
0.026394080,0,1,0,0,0,1
0.026394160,0,1,1,0,0,1
0.026394310,0,1,0,0,0,1
0.026394410,0,1,1,0,0,1
0.026394500,0,1,0,0,0,1
0.026394570,0,1,1,0,0,1
0.026394660,0,1,0,0,0,1
0.026394830,0,1,1,0,0,1
0.026394990,0,1,0,0,0,1
0.026395180,0,1,1,0,0,1
0.026395480,0,1,0,0,0,1
0.026396230,0,1,1,0,0,1
0.026396340,0,1,1,1,0,1
0.026396360,0,1,0,1,0,1
